name_pre_v20,name_post_v20,name_NIMH_renamed,question_ML,question_ NIMH ,new,practically_identical,mergeable,notes
prequestion1,socialmedia,,Do you have a social media account?,,1,,,question was added by CMI group
prequestion1a,socialmedia_type,,What social media accounts do you use?,,1,,,question was added by CMI group
Morning1,morning_bedtime,,About what time did you **go to bed** last night (regardless of the time you actually fell asleep)?,About what time did you go to bed last night (regardless of the time you actually fell asleep)?,0,0,1,"In the NIMH version, responses are given in 30 minute intervals via single select, in the ML version, responses are given at the minute level via clock widget"
Morning2,morning_lights_off,,"What time did you **turn off the lights** (including TV, phone, tablets)?",,1,,,question was added by NIMH group
Morning3,morning_close_eyes,,What time did you **close your eyes** to try to go to sleep?,,1,,,question was added by NIMH group
Morning4,morning_sleep_latency,,How long did it take you to **fall asleep**?,,1,,,question was added by NIMH group
Morning5,morning_wake_number,,"How many times did you **wake up in the night**, not counting your final awakening?",,1,,,question was added by NIMH group
Morning6,morning_waketime,,What time did you **wake up** this morning?,,1,,,question was added by NIMH group
Morning7,morning_outbed,,What time did you **get out of bed** for the day?,,1,,,question was added by NIMH group
Morning8,morning_sleep_quantity,,About how many hours did you **actually sleep**?,About how many hours did you actually sleep?,0,0,1,"In the ML version, the responses 'Not at all' was changed to 'less than 30 minutes', 'Half an hour' was changed to '30 minutes'"
Morning9,morning_sleep_quality,,How would you rate the **quality** of your sleep?,,1,,,question was added by NIMH group
Morning10,morning_sleep_refreshed,morning_sleep_quality,How **refreshed** did you feel when you woke up?,How rested did you feel upon awakening?,0,0,1,"In the ML version, the word 'rested' was changed to 'refreshed' in both the question and responses, 'upon awakening' was changed to 'when you woke up'. The question was renamed from 'morning-sleep-quality' to 'morning-sleep-refreshed'."
Morning11,morning_sleep_problems,,Which (if any) of the following **sleep problems** did you have last night?,Which (if any) of the following sleep problems did you have last night?,0,0,1,"In the ML version, the responses 'sleep walking' and 'no sleep problem' were added"
Morning11a,morning_sleep_problems_reason,,Were the **sleep problems** due to:,,1,,,question was added by NIMH group
Morning12,morning_sleeping_pills,,Did you take **sleeping pills or anything else** to help you sleep last night?,Did you take any sleeping pills last night?,0,0,1,"In the ML version, 'or anything else to help you sleep last night' was added to the question"
Internet_mn1,socialmedia_after_bedtime,,Were you using your **social media** accounts **after bedtime**?,,1,,,question was added by CMI group
Internet_mn2,socialmedia_fall_asleep,,Did your use of social media impact your ability to **fall asleep** last night?,,1,,,question was added by CMI group
Context1,since_activity_monitor,,Have you **taken your activity monitor off** since your last questionnaire?,,1,,,question was added by NIMH group
Context1a,since_activity_monitor_time,,When did you **take it off** and **put it back on**?,,1,,,question was added by NIMH group
Context2,now_where,,Where are you **right now**?,Where are you right now?,0,1,1,"in the ML version, choices are stored as an array, in the NIMH version, each choice are stored as a new 0,1 variable with the name of the choice appended to the question name"
Context3,since_where,,Which places have you been **since you woke up/since the last questionnaire**?,,1,,,question was added by NIMH group
Context4,now_company,,Who is with you at **this moment**?,Who is with you at this moment?,0,0,1,"In the ML version, response 'family members or partner' was changed to 'family members', 'partner/boyfriend/girlfriend' was added"
Context5,since_company,,Who have you been with **since you woke up/since the last questionnaire**?,,1,,,question was added by NIMH group
Context6,now_activity,,What are you doing at **this moment**?,What are you doing at this moment?,0,0,1,"In the ML version, responses 'homework', 'reading', texting by phone' was added"
Context7,since_activity,,Which of these activities have you done **since you woke up/since the last questionnaire**?,,1,,,question was added by NIMH group
Mood1,now_sadness,,How **happy versus sad** do you feel right now?,How happy versus sad do you feel right now?,0,1,1,
Mood4,now_anxiousness,,How **relaxed versus anxious** do you feel right now?,How relaxed vs. anxious do you feel right now?,0,1,1,
Mood5,now_excited,,How **calm vs. excited** do you feel right now?,,1,,,question was added by NIMH group
Mood6,now_energy,now_excited,How **tired vs. energetic** do you feel right now?,How tired vs energetic do you feel right now?,0,1,1,"In the ML version, the question was renamed from 'now-excited' to 'now-energy'"
Mood7,now_distracted,,How well can you **concentrate or focus** right now?,How well can you concentrate or focus right now?,0,1,1,
Mood8,now_irritable,,How **irritable or easily angered** do you feel right now?,How irritable or easily angered do you feel right now?,0,1,1,
Mood9,now_worried,,How **worried** do you feel right now?,,1,,,question was added by NIMH group
Mood10,now_guilty,,How **guilty** do you feel right now?,,1,,,question was added by NIMH group
Mood11,now_decisions,,How well can you make **decisions** right now?,,1,,,question was added by NIMH group
Mood12,now_quick_thinking,now_slow_thinking,How **quick** is your **thinking**?,How quick is your thinking?,0,0,1,"In the ML version, the 1 and 7 choices are swapped. The question was renamed from 'now-slow-thinking' to 'now-quick-thinking'"
Mood13,now_enjoyment,,How much are you able to **enjoy and feel pleasure** in things?,How much are you able to enjoy and feel pleasure in things?,0,0,1,"In the ML version, the 1 and 7 choices are swapped"
Mood14,now_fidgety,,How **fidgety or restless** do you feel right now compared to your **usual self**?,How fidgety or restless do you feel right now compared to your usual self?,0,1,1,
Mood15,now_hungry,,How **hungry** do you feel right now?,How hungry do you feel right now?,0,1,1,
Mood16,now_sleepy,,How **sleepy** do you feel right now?,,1,,,question was added by NIMH group
Thoughts1,now_thoughts_positive,,"To what extent are you having **positive thoughts**, thinking about nice experiences or things that make you feel good?",,1,,,question was added by NIMH group
Thoughts2,now_thoughts_negative,,"To what extent are you having **negative thoughts**, thinking about unpleasant experiences or things that make you feel bad?",,1,,,question was added by NIMH group
Thoughts2a,now_thoughts_negative_about,,Were these thoughts about:,,1,,,question was added by NIMH group
Thoughts2b,now_thoughts_negative_severity,,How severe or disturbing would you say these thoughts were?,,1,,,question was added by NIMH group
Activity1,since_rest,,"Since the last questionnaire, did you have a nap or rest?","Since the last assessment, did you have a nap or rest?",0,1,1,"In the ML version, the word 'assessment' was replaced with 'questionnaire'"
Activity1a,since_rest_duration,,About **how long** was your nap or rest?,How long was your nap or rest?,0,1,1,"In the ML version, the word 'about' was added to the beginning of the question"
Activity1b,since_rest_fell_asleep,,Did you actually **fall asleep** during the nap or rest?,Did you actually fall asleep during the nap or rest?,0,1,1,
Activity2,since_physical_activity,,Please select the **intensity level of activities** you did since you woke up/since the last questionnaire:,Please select the intensity level of activities you did since you woke up/since the last questionnaire,0,1,1,"in the ML version, choices are stored as an array, in the NIMH version, each choice are stored as a new 0,1 variable with the name of the choice appended to the question name"
Activity2a,since_vigorous_activity,,"Since you woke up/Since the last questionnaire, how many minutes did you do **vigorous activities** including intensive sports or exercise (such as running or fast cycling) or intensive physical work (such as heavy lifting or digging)?","Since you woke up/Since the last questionnaire, how many minutes did you do vigorous activities including intensive sports or exercise (such as running or fast cycling) or intensive physical work (such as heavy lifting or digging)?",0,1,1,
Activity2b,since_vigorous_activity_planned,,Was this **vigorous activity** (or activities) part of a **planned** workout or exercise routine?,Was this vigorous activity (or activities) part of a planned workout or exercise routine?,0,1,1,
Activity2c,since_moderate_activity,,"Since you woke up/Since the last questionnaire, how many minutes did you do **moderate activities** (activities that make you breathe somewhat harder than usual such as playing tennis, bicycling, carrying light loads)?","Since you woke up/Since the last questionnaire, how many minutes did you do moderate activities (activities that make you breathe somewhat harder than usual such as playing tennis, bicycling, carrying light loads)?",0,1,1,
Activity2d,since_moderate_activity_planned,,Was this **moderate activity** (or activities) part of a **planned** workout or exercise routine?,Was this moderate activity (or activities) part of a planned workout or exercise routine?,0,1,1,
Activity2e,since_light_activity,,"Since you woke up/Since the last questionnaire, how many minutes did you do **light activities** (activities that may not make you breathe somewhat harder than usual such as walking, climbing stairs, routine household chores, etc.)?","Since you woke up/Since the last questionnaire, how many minutes did you do light activities (activities that may not make you breathe somewhat harder than usual such as walking, climbing stairs, routine household chores, etc.)?",0,1,1,
Activity2f,since_light_activity_planned,,Was this **light activity** (or activities) part of a **planned** workout or exercise routine?,Was this light activity (or activities) part of a planned workout or exercise routine?,0,1,1,
Intake1,since_had_drink,,"Since you woke up/Since the last questionnaire, did you drink:","Since you woke up/Since the last questionnaire, did you drink:",0,1,1,"in the ML version, choices are stored as an array, in the NIMH version, each choice are stored as a new 0,1 variable with the name of the choice appended to the question name, added 'none' option"
Intake1a,since_had_drink_water_quantity,,How many 8 oz glasses of **water** did you consume?,How many 8 oz glasses of water did you consume?,0,1,1,
